claim_no,policy_no,claim_date,months_as_customer,injury,property,vehicle,total,collision_type,number_of_vehicles_involved,age,insured_relationship,license_issue_date,date,hour,type,severity,number_of_witnesses,suspicious_activity
c64a23ed-5740-4df2-b0d6-3f2bf07f2b8d,102149994,2020-11-03,426,4650,4650,32550,41850,null,4,43.0,own-child,29-10-2015,2021-05-21,23,Multi-vehicle Collision,Major Damage,0,false
cbf93de9-b450-4902-ba71-a297bcbfd5e9,102140488,2020-02-06,405,13520,6760,47320,67600,Front Collision,1,38.0,own-child,06-08-2008,2020-08-27,9,Single Vehicle Collision,Minor Damage,2,false
edb28b29-2a50-4a71-948c-15451770d876,102090982,2017-05-12,95,6730,13460,53840,74030,Rear Collision,1,30.0,other-relative,01-09-2013,2017-11-27,10,Parked Car,Total Loss,0,true
9bce5488-3731-4402-9ff0-ba72ce025d7e,102108842,2017-08-23,371,8580,4290,21450,34320,Rear Collision,1,38.0,unmarried,29-11-2005,2018-03-17,16,Single Vehicle Collision,Total Loss,0,true
1d2d332a-00e7-469d-ab5c-c2a762c7f4b8,102078521,2017-04-09,259,9600,4800,33600,48000,Front Collision,1,30.0,own-child,07-04-2009,2017-11-01,18,Vehicle Theft,Minor Damage,2,false
61ef8ed4-328d-41aa-a2fb-b17e3a8be348,102109755,2017-09-21,106,12120,6060,42420,60600,Side Collision,4,41.0,unmarried,21-06-2008,2018-03-10,17,Multi-vehicle Collision,Minor Damage,1,true
e61710e6-a47f-4631-9ddf-a869f933d45f,102054900,2016-06-22,247,0,3770,30160,33930,Side Collision,4,41.0,unmarried,21-06-2008,2016-12-09,3,Multi-vehicle Collision,Minor Damage,3,false
e864ddaf-b8bf-4618-8d82-5997236d8ee3,102133319,2019-08-04,81,13840,6920,48440,69200,null,1,24.0,own-child,01-12-2012,2020-01-27,2,Single Vehicle Collision,Minor Damage,1,false
c52ed809-7c4d-4dc5-aa89-3eb4a2392613,102061774,2016-09-27,461,1060,1060,4770,6890,Front Collision,1,50.0,other-relative,13-04-2009,2017-03-07,9,Single Vehicle Collision,Major Damage,3,true
8805fe94-7d55-4af9-963d-a619d4cbe59e,102080046,2017-04-28,30,3010,0,27090,30100,Front Collision,4,35.0,unmarried,19-09-2013,2017-08-13,6,Multi-vehicle Collision,Trivial Damage,0,false
0352792f-6f1e-4a13-8844-f0151fcb18a9,102064495,2016-11-01,232,8570,17140,51420,77130,Side Collision,4,36.0,unmarried,26-07-2008,2017-04-25,12,Multi-vehicle Collision,Total Loss,3,true
9d498447-c61f-4f1f-9598-cd06d238b1b2,102049688,2016-02-12,123,5710,5710,45680,57100,Rear Collision,4,36.0,unmarried,26-07-2008,2016-08-05,22,Multi-vehicle Collision,Minor Damage,2,true
6ae60bbb-97fe-44bd-885e-30df0fa845fa,102127075,2019-02-16,126,14920,7460,59680,82060,null,1,22.0,husband,16-06-2013,2019-07-03,9,Parked Car,Total Loss,2,false
f4ec2977-0bea-4857-92c1-5136dee7c0c8,102095847,2017-07-12,26,9280,9280,41760,60320,Rear Collision,1,28.0,unmarried,15-04-2014,2017-12-03,21,Single Vehicle Collision,Minor Damage,1,false
08046086-0798-429b-b462-85fbf7decbbc,102136064,2019-10-14,259,3010,0,27090,30100,Front Collision,4,42.0,husband,28-02-2004,2020-03-10,19,Multi-vehicle Collision,Trivial Damage,3,true
f59de420-1892-4635-b840-16ecf397a664,102130841,2019-06-05,95,14660,14660,58640,87960,Side Collision,1,36.0,unmarried,19-04-2017,2019-10-29,22,Single Vehicle Collision,Total Loss,0,false
a49ba200-5424-408f-90c3-5f7db7fd9596,102083580,2017-06-13,355,14920,7460,59680,82060,Rear Collision,4,31.0,own-child,01-08-2012,2017-10-22,18,Multi-vehicle Collision,Total Loss,2,false
b26e1ab4-154c-4196-a0d9-b3007c7f9c2a,102094688,2017-07-12,300,13720,13720,48020,75460,null,4,31.0,own-child,25-09-2005,2017-12-07,13,Multi-vehicle Collision,Total Loss,3,true
e130f7bb-e5c1-4adb-bf6c-a02e126b1699,102146556,2020-07-05,210,6930,13860,62370,83160,Front Collision,1,30.0,not-in-family,19-12-2013,2020-11-25,23,Parked Car,Minor Damage,0,true
33dc3a6c-840f-4520-8065-1a40b9903628,102069704,2017-01-01,159,12980,12980,38940,64900,Front Collision,1,43.0,husband,29-10-2013,2016-11-28,9,Single Vehicle Collision,Minor Damage,0,true
1293b509-c029-41f4-82c6-4d24e9be75c8,102144392,2020-05-13,219,5780,11560,46240,63580,Front Collision,1,53.0,not-in-family,04-05-1986,2020-06-25,9,Single Vehicle Collision,Major Damage,1,true
25c27151-c731-4c2b-95e0-5a871ad60898,102120727,2018-07-19,373,5740,5740,40180,51660,null,4,32.0,own-child,10-09-2011,2018-07-09,7,Multi-vehicle Collision,Minor Damage,3,true
72bcca40-195b-496c-ba77-3c8f93a78f72,102099586,2017-10-12,134,7060,14120,56480,77660,Front Collision,4,47.0,other-relative,03-04-2011,2017-12-07,7,Multi-vehicle Collision,Minor Damage,0,true
7912b9d8-4267-42d9-b5ca-414b0fa53a39,102149799,2020-09-26,7,10700,10700,37450,58850,Front Collision,4,32.0,own-child,10-06-2015,2020-11-09,4,Multi-vehicle Collision,Major Damage,1,false
3d53b161-72aa-46a7-a51b-4f1948e7c7ff,102100570,2017-10-12,122,8500,4250,29750,42500,Side Collision,4,30.0,unmarried,31-01-2012,2017-11-14,14,Multi-vehicle Collision,Major Damage,0,false
884f5d1d-aa0e-41b6-9377-06cd4bce41a8,102060091,2016-09-05,261,560,280,2240,3080,Front Collision,1,33.0,wife,16-12-2012,2016-11-02,3,Parked Car,Total Loss,3,false
31d2a930-f641-4219-abcc-98d0f77f9d65,102074434,2017-02-20,290,12820,12820,44870,70510,Rear Collision,4,33.0,husband,05-05-2017,2017-04-04,18,Multi-vehicle Collision,Total Loss,3,false
ad39e5a1-b473-4f93-8367-a9228b1bba10,102120102,2018-07-01,334,7180,0,57440,64620,Side Collision,4,26.0,own-child,21-06-2016,2018-08-20,8,Multi-vehicle Collision,Trivial Damage,1,true
39f4dd70-e3f3-4083-b7f5-18e6aba6beda,102116858,2018-03-25,172,15320,7660,53620,76600,Front Collision,1,30.0,wife,22-08-2016,2018-03-31,18,Single Vehicle Collision,Minor Damage,3,true
596d7b22-a87e-49b7-b86c-b49c3218bfa6,102121235,2018-08-04,427,860,860,3440,5160,Rear Collision,4,19.0,other-relative,27-08-2016,2018-07-29,6,Multi-vehicle Collision,Minor Damage,0,false
0778922e-b50e-43b4-9d42-0a602f5b8d1f,102150261,2020-10-07,261,6630,13260,59670,79560,Rear Collision,1,70.0,husband,16-08-1970,2020-11-04,7,Single Vehicle Collision,Minor Damage,1,false
bcd47188-7e62-494b-89f0-94813f7109bb,102049194,2016-01-24,86,7760,15520,46560,69840,Side Collision,1,25.0,not-in-family,19-06-2017,2016-02-21,11,Single Vehicle Collision,Minor Damage,0,false
ca8e6114-0382-462f-86fa-dee4959623bd,102058513,2016-08-14,102,6600,13200,39600,59400,Side Collision,4,28.0,husband,22-05-2014,2016-09-10,23,Multi-vehicle Collision,Major Damage,3,false
e344b599-ad42-46a3-ab5d-edd4518b2f21,102055618,2016-07-03,175,1180,590,5310,7080,Side Collision,4,42.0,own-child,04-09-2005,2016-07-31,0,Multi-vehicle Collision,Minor Damage,2,false
45dae5f9-bde9-45cf-93af-e6c224d19bd1,102107514,2017-11-12,145,16710,5570,44560,66840,Rear Collision,1,36.0,husband,05-12-2001,2017-12-09,13,Single Vehicle Collision,Total Loss,0,false
420d6308-245f-4388-9e9a-cc30e0ace45f,102102580,2017-11-12,310,0,1220,4270,5490,null,1,31.0,not-in-family,20-10-2009,2017-12-07,8,Single Vehicle Collision,Total Loss,1,false
55a7ca55-d6ea-4db4-8ab7-642994984b43,102138406,2019-12-15,185,680,680,2380,3740,Rear Collision,1,48.0,own-child,05-04-1997,2019-11-28,19,Vehicle Theft,Minor Damage,2,false
cabc522e-88a9-4a02-b217-a3f97f5a2c2e,102143930,2020-04-29,75,8920,8920,31220,49060,Side Collision,1,42.0,not-in-family,07-03-2005,2020-04-25,20,Parked Car,Major Damage,3,false
ee6fb78d-684d-421a-b63a-ff6856b2dc8e,102082094,2017-05-26,289,7080,21240,35400,63720,Side Collision,1,35.0,not-in-family,18-04-2016,2017-05-20,0,Vehicle Theft,Total Loss,0,false
6e28c3f8-c2e9-4927-bec2-9888dc704860,102123901,2018-11-04,260,14400,7200,64800,86400,Front Collision,1,43.0,other-relative,17-01-2006,2018-10-29,13,Single Vehicle Collision,Total Loss,3,false
b348f571-2ab1-4081-a23c-6b34b7a8c746,102106825,2017-12-12,37,770,1540,5390,7700,null,1,32.0,other-relative,24-02-2009,2017-12-10,8,Parked Car,Major Damage,3,false
bb0474ac-08d8-4807-a7e1-22a22bd59393,102119834,2018-06-22,86,540,1080,4320,5940,Rear Collision,1,34.0,unmarried,09-03-2002,2018-06-19,6,Parked Car,Total Loss,1,false
afa085a4-7381-4cd4-aa74-96bf867be2b0,102053417,2016-06-05,233,5190,5190,31140,41520,Front Collision,1,49.0,wife,25-10-1998,2016-05-11,12,Single Vehicle Collision,Major Damage,1,false
b9e5dcc8-7121-4ca4-a6e6-42e6bd23642b,102084589,2017-12-12,244,4510,9020,40590,54120,Front Collision,4,26.0,husband,26-04-2016,2017-12-09,9,Multi-vehicle Collision,Total Loss,2,false
01a112c6-9a02-4454-9ad3-f4a64a49df1a,102051453,2016-05-03,163,6910,6910,55280,69100,Rear Collision,4,49.0,not-in-family,21-11-1991,2016-05-01,13,Multi-vehicle Collision,Major Damage,3,false
fcf27c69-3200-490d-bed4-3a7ed202c66f,102052589,2016-05-16,58,11900,5950,41650,59500,Front Collision,1,28.0,own-child,09-05-2013,2016-05-10,2,Parked Car,Total Loss,1,true
4d55b676-c1ef-48fb-8e4e-84f60713fe38,102121280,2018-08-05,17,5670,5670,51030,62370,Side Collision,1,24.0,other-relative,31-01-2017,2018-08-04,12,Vehicle Theft,Major Damage,1,false
a53f7ca8-0d1c-4eb7-b1b6-d8927af80c9e,102066911,2016-11-28,266,17180,17180,51540,85900,Front Collision,1,43.0,not-in-family,05-02-2006,2016-11-26,5,Vehicle Theft,Total Loss,2,false
25a93c50-6c52-4c57-a2b1-ff82b7248acf,102133178,2019-08-02,247,500,500,4500,5500,Front Collision,1,46.0,wife,18-05-2010,2019-07-30,14,Single Vehicle Collision,Minor Damage,0,false
8f18d31e-c5ac-4bfe-b47e-c4c02c66375a,102142348,2020-03-21,210,1440,720,6480,8640,Rear Collision,4,25.0,husband,28-06-2015,2020-03-09,17,Multi-vehicle Collision,Major Damage,3,false
775a5ce7-114c-417f-a26b-a43935761e27,102103358,2017-12-12,61,6280,6280,50240,62800,Side Collision,4,31.0,not-in-family,13-10-2011,2017-12-09,21,Multi-vehicle Collision,Total Loss,2,false
b18e8a5c-6ef6-4d35-9a8d-b9a1ab6882b2,102151006/1,2020-10-25,198,5000,10000,45000,60000,Rear Collision,1,32.0,unmarried,03-04-2013,2020-09-29,5,Vehicle Theft,Minor Damage,1,false
93f61e9d-cf4e-44a3-ac52-80e20d7ce572,102104868,2017-12-12,156,5600,5600,44800,56000,null,4,33.0,wife,08-10-2002,2017-12-11,16,Multi-vehicle Collision,Minor Damage,0,false
d2ab0fd9-f0fc-47c1-857e-91c94734dc35,102060159,2017-12-13,184,3340,6680,26720,36740,Side Collision,4,40.0,not-in-family,01-07-2014,2017-10-30,20,Multi-vehicle Collision,Trivial Damage,3,false
7a182bc4-e6d2-462d-8ac6-d5d724ce7353,102087913,2017-08-15,16,12980,19470,58410,90860,null,4,34.0,husband,16-06-2002,2017-08-14,7,Multi-vehicle Collision,Major Damage,3,false
f8c89e68-14f6-43a2-b928-109116b3c49d,102100061,2017-12-13,386,1180,1180,4720,7080,Rear Collision,4,31.0,other-relative,25-06-2013,2017-12-12,7,Multi-vehicle Collision,Trivial Damage,1,false
b304f54c-0c59-416e-b6ae-026d67733059,102112364,2017-12-13,111,11180,11180,39130,61490,Rear Collision,1,28.0,wife,25-12-2007,2017-12-11,21,Single Vehicle Collision,Trivial Damage,3,true
767574ec-e070-4b9c-9ebd-32555f648452,102091196,2017-09-17,41,7060,14120,56480,77660,null,1,47.0,unmarried,21-05-2009,2017-08-30,18,Single Vehicle Collision,Minor Damage,3,true
241e8f9e-4891-4254-9886-36786aa43b9b,102110173,2017-12-13,56,13780,6890,55120,75790,null,1,32.0,own-child,24-02-2009,2017-12-13,4,Parked Car,Total Loss,1,false
5b614362-a1ab-4285-8e50-55cc0128e1ba,102111442,2017-12-13,65,7810,7810,54670,70290,Side Collision,1,29.0,wife,11-02-2007,2017-12-04,3,Parked Car,Major Damage,3,false
f100d383-db8b-4207-bfb5-868b04c02d50,102085323,2017-07-02,428,5370,5370,48330,59070,Side Collision,1,26.0,own-child,12-01-2011,2017-06-27,19,Parked Car,Total Loss,1,false
28d0a026-dc69-40cc-bd79-bb7a65a07c4f,102092477,2017-10-13,122,450,900,3600,4950,Side Collision,4,25.0,husband,10-09-2017,2017-09-05,8,Multi-vehicle Collision,Minor Damage,1,false
6fee8211-bc67-4bd8-b5a6-6322418e2b50,102146520,2020-07-05,11,2200,4400,17600,24200,null,1,29.0,unmarried,13-10-2016,2020-07-02,0,Single Vehicle Collision,Trivial Damage,3,false
f53c9e61-394b-40b8-a872-55f5c85064c7,102070043,2017-01-06,224,520,520,3640,4680,Rear Collision,1,29.0,other-relative,13-10-2016,2017-01-03,19,Single Vehicle Collision,Minor Damage,0,false
b5d07276-dd0b-494c-ae88-7926527ab1ff,102082528,2017-12-14,245,6020,6020,48160,60200,Side Collision,4,42.0,unmarried,29-03-2004,2017-09-30,14,Multi-vehicle Collision,Total Loss,1,false
c90d9667-40c7-4405-8ce9-2a4e2d64d98a,102102732,2017-12-14,168,6930,13860,55440,76230,Front Collision,4,49.0,other-relative,02-06-1999,2017-10-11,16,Multi-vehicle Collision,Total Loss,1,false
e4f84df5-55b4-4f27-98ba-2f8c64e5a51a,102076473,2017-03-23,95,7080,21240,35400,63720,Side Collision,4,36.0,unmarried,20-04-2016,2017-03-22,5,Multi-vehicle Collision,Total Loss,0,false
da0785d6-34fe-413d-ae9b-9142bb311bab,102127450,2019-02-23,464,7690,7690,69210,84590,Front Collision,1,34.0,husband,12-05-2000,2019-02-22,14,Single Vehicle Collision,Minor Damage,2,true
b8062454-297f-44aa-b9bc-be215c9920b0,102141219,2020-02-22,110,7470,14940,52290,74700,Rear Collision,1,40.0,other-relative,23-04-2011,2020-02-19,3,Single Vehicle Collision,Minor Damage,0,false
660e8f30-006f-40c4-a425-6f08db51c688,102105227,2017-12-17,61,5190,10380,46710,62280,Side Collision,4,35.0,wife,01-07-2012,2017-11-27,10,Multi-vehicle Collision,Major Damage,0,false
ace8d473-ba0b-4dd3-8243-dfa9d12f226b,102125160,2018-12-26,252,13840,6920,48440,69200,Rear Collision,4,31.0,other-relative,16-08-2017,2018-12-23,15,Multi-vehicle Collision,Minor Damage,1,false
a0825f9a-85e7-4479-8983-834edf7b9c64,102078322,2017-04-09,25,3880,7760,31040,42680,null,4,19.0,own-child,01-02-2016,2017-02-05,23,Multi-vehicle Collision,Total Loss,2,false
f32d0ee9-7a12-4a2f-920f-2b3e28bdb5eb,102124939,2018-12-16,238,14980,7490,52430,74900,Front Collision,4,37.0,wife,30-08-2015,2018-12-13,17,Multi-vehicle Collision,Major Damage,3,true
e190b5ae-6c8b-47d5-9c1d-96797e51842c,102108819,2017-12-17,146,1260,630,3780,5670,null,4,24.0,not-in-family,15-02-2012,2017-12-13,17,Multi-vehicle Collision,Total Loss,3,false
9fe5a6c5-7f69-4ed7-a4b9-5d149fe46a45,102116523,2018-03-17,37,15660,15660,54810,86130,Side Collision,4,47.0,own-child,24-07-2014,2018-03-15,22,Multi-vehicle Collision,Total Loss,3,false
f6e89dfe-51e6-483f-8843-f3e9c39cb915,102152340,2020-12-03,266,10700,10700,37450,58850,null,1,22.0,not-in-family,29-04-2014,2020-12-02,17,Single Vehicle Collision,Total Loss,2,false
95569334-d669-4a6b-a856-63537653c23b,102082349,2017-05-28,406,4580,9160,36640,50380,null,1,33.0,unmarried,24-03-2013,2017-05-27,4,Vehicle Theft,Major Damage,1,false
8560af9c-ddef-4a97-9c48-3f3e86f6c913,102098357,2017-12-17,392,5850,11700,46800,64350,Rear Collision,1,24.0,husband,06-03-2014,2017-11-23,14,Single Vehicle Collision,Trivial Damage,3,false
0d8288d7-e660-4be1-b11b-a33fae873e42,102145238,2020-06-06,308,630,630,5040,6300,Side Collision,4,30.0,not-in-family,22-03-2015,2020-06-04,12,Multi-vehicle Collision,Minor Damage,2,true
5442d098-20fe-4765-884f-d774efd94750,102093114,2017-10-22,215,980,980,3430,5390,Side Collision,1,38.0,not-in-family,04-03-2008,2017-09-30,13,Single Vehicle Collision,Major Damage,2,false
7031b46f-3afc-4e3e-b4f1-1137523844c3,102115620/1,2018-03-24,244,6770,6770,40620,54160,Front Collision,4,24.0,wife,23-03-2017,2018-03-10,3,Multi-vehicle Collision,Major Damage,3,false
6d1be42b-d3c4-495e-999d-e6bce1c45998,102097928,2017-12-18,134,13300,6650,59850,79800,Rear Collision,4,45.0,not-in-family,29-10-2009,2017-08-30,13,Multi-vehicle Collision,Minor Damage,0,false
cb67d020-ef67-4d26-9e16-9a16afb6d9cd,102129248,2019-04-10,165,3880,7760,31040,42680,Rear Collision,1,32.0,own-child,04-08-2016,2019-04-04,11,Parked Car,Major Damage,3,false
f8364957-92f7-4ec8-ae69-e9104bad0ad0,102147100,2020-07-18,446,4630,9260,46300,60190,null,1,32.0,husband,07-07-2011,2020-07-12,3,Single Vehicle Collision,Minor Damage,1,false
477a7c8a-278a-4091-87b2-df3c64e76f2b,102115256,2018-02-14,375,4450,8900,35600,48950,null,4,32.0,other-relative,14-10-2015,2018-02-08,9,Multi-vehicle Collision,Major Damage,2,false
1c478c36-5b53-4bc1-ba73-4cd581f090f6,102133758,2019-08-14,22,470,940,3290,4700,Rear Collision,1,36.0,unmarried,19-12-2006,2019-08-06,8,Single Vehicle Collision,Minor Damage,2,false
a8c5207e-433d-480e-8a6c-14d646070123,102063908/1,2016-10-28,13,5970,11940,53730,71640,null,4,44.0,not-in-family,18-11-1996,2016-10-21,21,Multi-vehicle Collision,Total Loss,0,false
ecbff36c-0aa8-496c-bb5a-f35343537e28,102147458,2020-07-29,85,15900,7950,55650,79500,Front Collision,4,22.0,wife,06-11-2013,2020-07-27,2,Multi-vehicle Collision,Minor Damage,0,false
2b2c0f5b-768f-4b88-a8ba-e5f6e1370ec9,102129139,2019-04-06,267,6170,6170,49360,61700,Side Collision,1,42.0,other-relative,03-09-2006,2019-04-04,3,Single Vehicle Collision,Major Damage,2,false
69d73279-24d7-4f28-96ac-8511bc74bfaf,102119706,2018-06-20,87,13600,6800,54400,74800,Front Collision,4,39.0,unmarried,25-03-2013,2018-06-16,17,Multi-vehicle Collision,Minor Damage,3,false
fd7a3e16-f03b-4c28-b540-7ac491131ccb,102148678,2020-08-29,308,15900,7950,55650,79500,Side Collision,1,28.0,other-relative,27-08-2012,2020-08-26,21,Single Vehicle Collision,Minor Damage,0,false
dfcb56e2-61a2-4a9d-acf4-1214905ff5b5,102146984,2020-07-15,289,4800,9600,33600,48000,Side Collision,4,31.0,wife,28-07-2011,2020-07-10,15,Multi-vehicle Collision,Trivial Damage,0,false
552c86d8-305d-43da-a249-d909b2c8fc12,102129074,2019-04-04,295,7860,7860,27510,43230,Side Collision,4,21.0,not-in-family,18-12-2016,2019-02-11,7,Multi-vehicle Collision,Minor Damage,0,false
84cf32ec-772d-4dea-9d3a-7e379ec66997,102105786,2017-12-18,392,5940,11880,41580,59400,Front Collision,1,46.0,not-in-family,06-01-2002,2017-12-18,2,Parked Car,Major Damage,1,true
263da7bc-c2c4-40fe-8c1e-d196b094d8d7,102147772,2020-08-05,115,670,670,5360,6700,null,1,28.0,wife,25-05-2016,2020-07-04,17,Single Vehicle Collision,Major Damage,0,false
72e1545a-8170-497b-9484-c78e1b306cb8,102087655,2017-08-03,294,16620,16620,74790,108030,Rear Collision,4,30.0,unmarried,03-04-2015,2017-07-26,17,Multi-vehicle Collision,Total Loss,1,false
aa9c681a-e899-48c5-98e0-7ba2ecaf1806,102115445,2018-02-18,458,7690,7690,69210,84590,null,4,27.0,not-in-family,11-02-2015,2018-02-13,17,Multi-vehicle Collision,Major Damage,1,false
fb98aa1b-c5cf-4299-8905-0b980fd1fe3e,102064256,2016-11-23,152,900,450,3600,4950,Rear Collision,1,25.0,wife,27-12-2010,2016-11-17,9,Single Vehicle Collision,Minor Damage,1,false
a7d3ad1e-b70b-4d6c-b93d-5ea1a357b07d,102087609,2017-08-03,93,5630,11260,39410,56300,Side Collision,4,40.0,other-relative,11-08-2009,2017-08-01,7,Multi-vehicle Collision,Total Loss,2,false
27cfb515-af2f-4b91-a4b5-9c57836879af,101526855,2016-09-10,163,4990,4990,34930,44910,Rear Collision,1,36.0,husband,18-09-2014,2016-07-14,4,Single Vehicle Collision,Total Loss,0,false
5bb2acb4-4579-4f15-acc7-59ad67a625be,102059140,2016-08-22,140,590,1180,4720,6490,Side Collision,1,26.0,not-in-family,17-01-2013,2016-07-29,10,Single Vehicle Collision,Trivial Damage,3,false
fee2d175-f7b2-4415-9164-6250c84eeb72,102056446,2017-12-19,339,0,14020,63090,77110,Side Collision,1,32.0,wife,13-02-2014,2017-12-16,18,Single Vehicle Collision,Total Loss,0,true
a04f08bc-5a3d-4a71-a3d6-a6df80b4e2b3,102109661,2017-12-19,202,9460,9460,33110,52030,Rear Collision,1,38.0,other-relative,23-03-2011,2017-11-19,14,Single Vehicle Collision,Major Damage,1,true
9804bc5c-81a2-47c6-a101-58611c36ffb4,102146168,2020-06-25,105,16360,8180,57260,81800,Rear Collision,4,41.0,unmarried,24-05-2012,2020-06-19,1,Multi-vehicle Collision,Minor Damage,0,false
372fc2c8-d623-4dfc-9168-e8e91f58c629,102081979,2017-05-24,310,1240,1240,5580,8060,Side Collision,4,32.0,unmarried,26-04-2015,2017-05-16,4,Multi-vehicle Collision,Minor Damage,3,false
ef7b3689-9f36-4fc0-b8e2-b055f7dacc1c,102064907,2016-11-06,4,940,940,3760,5640,Front Collision,4,40.0,own-child,24-01-2010,2016-11-05,17,Multi-vehicle Collision,Trivial Damage,0,false
44177900-bc14-4f77-bebe-b041315a1db9,102095356,2017-11-19,344,5790,5790,40530,52110,Rear Collision,1,35.0,unmarried,17-07-2010,2017-11-17,15,Single Vehicle Collision,Major Damage,2,false
4a3aba58-e2ff-4be5-bf2a-d5ad811b28d5,102089261,2017-08-25,198,1180,590,5310,7080,null,4,38.0,husband,01-05-2005,2017-08-23,11,Multi-vehicle Collision,Minor Damage,1,false
2ddfcb51-b9b6-4a86-a765-c422d88864c7,102057622,2016-08-01,371,8340,8340,25020,41700,Front Collision,1,36.0,husband,04-12-2000,2016-07-30,8,Single Vehicle Collision,Minor Damage,3,false
ad3bcb48-0be0-4094-9939-364120534874,102092882,2017-10-19,246,4070,4070,32560,40700,Front Collision,1,21.0,wife,03-08-2014,2017-10-15,5,Single Vehicle Collision,Minor Damage,2,false
3f00132c-9ba6-4be1-8da5-e89c6a4e3bb4,102054948,2016-06-23,195,660,1320,4620,6600,Side Collision,4,18.0,wife,02-04-2017,2016-06-18,9,Multi-vehicle Collision,Major Damage,2,false
a5e2b1a8-ee83-488c-9b8e-acfaec06822f,102092253,2017-10-08,252,6360,12720,44520,63600,Front Collision,1,21.0,husband,06-11-2014,2017-06-25,17,Single Vehicle Collision,Total Loss,2,false
57776441-d3b3-4575-bb2a-5e9739c51513,102090766,2017-09-13,102,6860,6860,48020,61740,Front Collision,1,35.0,own-child,31-12-2005,2017-09-12,22,Vehicle Theft,Major Damage,3,true
